City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,tindouf,27.6711,-8.1474,44.25,10,1,3.09,DZ,1692195341
343,kidal,18.4411,1.4078,35.07,34,100,4.27,ML,1692195342
344,kadugli,11.0167,29.7167,28.97,62,100,2.79,SD,1692195342
345,kinablangan,7.6947,126.5503,25.88,88,99,2.12,PH,1692195343
346,labrador city,52.9463,-66.9114,15.95,82,100,4.63,CA,1692195313
347,labuan,5.2767,115.2417,26.2,89,20,0.0,MY,1692195344
348,guiuan,11.0333,125.7247,28.09,76,96,2.73,PH,1692195345
349,fuglafjordur,62.244,-6.814,12.26,81,98,3.22,FO,1692195346
350,homer,59.6425,-151.5483,10.94,95,100,4.12,US,1692195346
351,natal,-5.795,-35.2094,29.12,58,40,7.72,BR,1692195347
352,novaya igirma,57.1334,103.9112,11.94,98,100,3.22,RU,1692195348
353,jamaame,0.0697,42.745,27.94,60,33,7.09,SO,1692195349
354,dolores,-36.3132,-57.6792,16.8,79,96,4.5,AR,1692195349
355,mejit,10.2753,170.8646,27.87,79,97,5.29,MH,1692195350
356,gainsborough,53.3833,-0.7667,24.15,39,19,1.93,GB,1692195350
357,lata,40.1629,-8.3327,29.72,47,36,5.06,PT,1692195351
358,bayevo,53.2833,80.7667,15.29,76,100,3.45,RU,1692195085
359,sengkang,-4.1279,120.0297,21.6,91,0,1.25,ID,1692195352
360,kirakira,-10.4544,161.9205,25.02,89,98,3.45,SB,1692195352
361,nikolayevsk-on-amure,53.1406,140.73,17.6,96,25,1.02,RU,1692195353
362,zhezqazghan,47.7833,67.7667,25.32,27,0,3.0,KZ,1692195354
363,eten,-6.9081,-79.8642,25.14,65,75,3.09,PE,1692195354
